,id,curiosity_je,curiosity_ds,curiosity_st,curiosity_sc,curiosity_ts,lambda_,tau,beta,r2_guassian,r2_ucb
42,44,5.2,3.8,4.8,4.6,3.4,-1.042205849083298,1.5282290663262292,3.060803463440493,0.0022589189563352,0.0093862104697314
43,45,6.2,4.6,5.8,3.2,3.6,-0.8535270806680031,-2.3433161587540337,2.050538925044584,0.1891420974204243,0.3649400392948247
44,46,6.8,4.0,6.8,6.6,6.4,1.015111051447706,-1.0178227112906435,0.8214427840695592,0.1091071344927677,0.1323714894146983
45,47,3.6,4.0,3.4,4.4,4.4,1.6973294339531386,-1.2034769424347072,0.7123091234348997,0.2701713812359801,0.2866621416544002
46,48,6.2,5.4,4.0,6.2,4.0,0.096089250096153,-2.252126301248125,1.5743469650569284,0.1246756482358726,0.2018231048305176
47,49,4.8,4.2,5.2,5.2,2.6,1.2220431952478776,-1.3901143475841675,1.1637375202087676,0.1527996528906883,0.216147301015959
48,50,5.0,3.8,6.2,3.6,3.6,-0.1669645212410835,-2.419608657589552,1.089489660797342,0.325121972338958,0.3508209975330171
49,51,6.0,4.0,6.8,4.0,3.4,1.964243834458308,-4.999999217633823,-1.1002892756575964,0.2813667718766536,0.446202353495999
50,52,5.0,6.6,2.8,3.6,2.2,1.8781911449288309,0.3657811737649604,2.761974073339648,0.0297240476776571,0.1247461043063933
51,53,3.0,3.8,4.6,4.0,3.0,1.25448800068917,-1.1488040566643172,-4.940359574442547,0.1903287063741022,0.1901457079612966
52,54,4.8,2.8,5.8,4.0,4.0,4.367374466960086,0.5330300569872534,-0.4252484740535158,-1.2881000895914596e-05,0.0
53,55,5.4,4.0,6.2,2.4,2.2,0.0592742552170866,-2.671764057061547,1.0581727831055827,0.2745943518804703,0.4222086412418325
54,56,5.0,4.6,4.0,5.4,3.0,-0.1001197821442545,-3.289467001778851,2.516527895170569,0.0360719573373574,0.1380651755119788
55,57,6.4,4.6,3.2,1.2,3.2,-0.0202362147549915,-3.031697903450218,-1.7999576306250509,0.0402815089861458,0.042915231946917
56,58,1.4,3.8,2.8,4.4,2.4,0.826693457765765,2.662792097950391,4.999992288682858,0.0200955674891446,0.0513917735229385
57,59,4.0,5.6,1.4,5.4,1.6,-4.999945417434782,-2.6848886306102906,2.150561734240398,0.1421034868191181,0.2961982648967712
58,60,4.2,4.8,4.4,4.4,3.8,4.282010956593672,1.1786643860079502,-0.2347616520168103,0.0004234197821332,0.0
59,61,5.6,3.0,4.2,4.4,2.8,0.9328045090092412,-1.7049152768155358,-0.3260756113310774,0.167118866632989,0.1789748953988847
60,62,5.8,5.4,3.8,4.4,4.8,1.2531234178058357,-1.4206990156565693,-0.0492584443939153,0.1514810074082522,0.1619386298706508
61,63,5.6,4.0,5.6,5.2,6.0,1.0419080016953748,-0.7116447743486423,2.183712806545996,0.0046214914110072,0.1084074576706995
62,64,4.4,4.4,2.8,4.8,3.4,0.9020397579809188,-1.1244220151958175,0.9131677177528488,0.0631338116844255,0.0992424376666049
63,65,5.4,5.6,5.0,2.2,3.2,1.3429580666799226,0.2259437183394673,4.999999451136634,-2.343962307915781e-05,0.3890690232909024
64,66,6.2,4.2,4.4,6.2,5.4,-1.6370612338256694,-3.744591177046837,-0.0851326490972969,0.2223922480911214,0.2711972175402677
65,67,5.0,4.2,5.0,4.2,2.6,0.5498070625963966,-1.5201498035783871,-4.999974058293837,0.1608041978313723,0.1607228508565746
66,68,3.0,1.8,6.2,2.2,3.0,0.17201533630712,-0.0770493660571465,4.999982310805435,0.0055502755521423,0.1328748651406626
67,69,4.6,5.0,5.6,6.0,2.0,0.0836205934833144,-0.7169864311686329,-1.645668321554603,0.057148427824389,0.056975004676868
68,70,5.0,4.2,4.4,4.6,4.0,0.2213044310219534,-0.0466299733096954,-3.9169532563582288,0.0244530298922613,0.0226887303187216
69,71,1.6,1.8,2.4,1.0,1.0,2.38051972230377,-4.999640646473601,0.7980566565437358,0.0840882958978611,0.1046082072199673
70,72,5.8,4.4,6.6,4.4,4.4,-4.0985232421332105,-1.4664666651367255,0.9589758658797872,0.1206811619941419,0.1585952765940371
71,73,3.4,3.4,5.2,3.4,3.8,1.547957030097432,-0.604876760619697,3.213859180104976,0.0060180373858226,0.2526251439286966
72,74,6.0,5.6,5.8,6.0,1.8,-1.0506097563922925,-1.2503317783323908,1.7118572671200116,0.018002572189909,0.032474834006043
73,75,3.6,4.4,5.6,3.8,3.6,0.5994748801020251,-1.4766418905724472,-0.5986132081767044,0.3016770435430486,0.3016601420846171
74,76,5.8,5.0,6.4,4.8,3.6,-0.462119036893893,-2.21256196835954,2.000390034060777,0.0747514993106103,0.1909471697479738
