,id,rt,response,book,correct_answer,correct
569,35,10.061,False,3,False,True
570,35,15.82,False,69,False,True
571,35,15.077,False,131,False,True
572,35,6.386,True,85,True,True
573,35,8.572,True,1,True,True
574,35,16.16,False,153,False,True
575,35,10.486,True,200,True,True
576,36,6.6234,False,92,False,True
577,36,4.7222,True,44,True,True
578,36,8.6881,False,132,False,True
579,36,9.9584,True,155,True,True
580,36,12.5397,False,61,False,True
581,36,8.0917,True,194,True,True
582,36,12.1396,False,135,False,True
583,36,10.175,True,190,True,True
584,36,32.2418,True,113,True,True
585,36,9.4749,True,15,True,True
586,36,10.8086,False,206,False,True
587,36,9.0688,False,9,False,True
588,36,23.9194,True,77,True,True
589,36,7.9072,False,34,False,True
590,36,10.654,False,196,False,True
591,36,8.5419,True,223,True,True
592,37,7.1455,False,16,False,True
593,37,7.1461,False,184,False,True
594,37,3.4792,True,48,True,True
595,37,4.2298,False,219,False,True
596,37,3.6729,True,93,True,True
597,37,2.3514,True,114,True,True
598,37,4.7642,False,58,False,True
599,37,5.4455,False,65,False,True
600,37,4.366,True,28,True,True
601,37,3.6108,True,31,True,True
602,37,4.8804,False,137,False,True
603,37,4.377,False,12,False,True
604,37,5.8975,False,190,False,True
605,37,4.2638,True,18,True,True
606,37,2.7791,True,208,True,True
607,37,3.4627,True,74,True,True
608,38,5.1285,False,70,False,True
609,38,2.735,True,29,True,True
610,38,2.2382,False,134,False,True
611,38,2.5008,False,223,False,True
612,38,2.1104,True,149,True,True
613,38,1.8277,True,80,True,True
614,38,2.3255,True,102,True,True
615,38,2.0844,False,81,False,True
616,38,2.0711,False,95,False,True
617,38,41.0025,False,44,False,True
618,38,1.9067,True,103,True,True
619,38,1.077,True,208,True,True
620,38,61.9811,True,150,True,True
621,38,2.6745,True,117,True,True
622,38,46.3233,False,56,False,True
623,38,1.9654,False,113,False,True
624,39,17.557,False,211,True,False
625,39,4.948,True,2,True,True
626,39,4.924,True,1,True,True
627,39,15.092,False,141,False,True
628,39,12.085,False,129,False,True
629,39,4.396,False,18,False,True
630,39,10.749,False,110,False,True
631,39,6.244,True,153,True,True
632,39,7.472,False,16,False,True
633,39,2.977,True,210,True,True
634,39,6.477,False,208,False,True
635,39,6.107,False,29,False,True
636,39,9.806,False,152,False,True
637,39,4.982,True,80,True,True
638,39,3.119,True,15,True,True
639,39,4.493,True,223,True,True
640,40,8.5131,True,197,True,True
641,40,3.7074,False,76,False,True
642,40,2.1603,False,113,False,True
643,40,5.1843,False,179,False,True
644,40,3.0064,True,141,True,True
645,40,4.755,True,199,True,True
646,40,2.6817,False,61,False,True
647,40,2.5359,True,213,True,True
648,40,2.2707,False,153,False,True
649,40,2.2803,True,216,True,True
650,40,8.7284,False,20,False,True
651,40,4.4596,False,2,False,True
652,40,12.25,True,17,True,True
653,40,4.1981,True,97,True,True
654,40,7.947,False,54,False,True
655,40,4.9413,True,215,True,True
656,41,8.975,True,225,True,True
657,41,5.018,False,34,False,True
658,41,12.466,False,169,False,True
659,41,11.384,False,210,True,False
660,41,10.573,False,136,False,True
661,41,9.114,False,42,False,True
662,41,15.716,False,164,False,True
663,41,13.036,True,120,True,True
664,41,7.584,False,13,False,True
665,41,4.579,True,196,True,True
666,41,6.316,True,8,True,True
667,41,13.154,True,1,True,True
668,41,5.934,False,85,False,True
669,41,6.327,True,14,True,True
670,41,2.223,True,113,True,True
671,41,3.338,False,104,False,True
672,42,2.3898,True,151,True,True
673,42,7.3567,True,41,True,True
674,42,5.6578,False,26,False,True
675,42,9.0383,True,47,True,True
676,42,2.9238,True,145,True,True
677,42,2.7545,True,165,True,True
678,42,6.0615,False,38,False,True
679,42,3.9092,False,164,False,True
680,42,5.5266,False,72,False,True
681,42,1.7595,True,125,True,True
682,42,3.7448,False,225,False,True
683,42,2.5768,True,190,True,True
684,42,1.7962,False,188,False,True
685,42,4.6378,False,105,True,False
686,42,7.7111,False,185,False,True
687,42,1.8969,False,7,False,True
688,43,2.1641,False,4,False,True
689,43,1.5077,False,80,False,True
690,43,1.3096,False,10,False,True
691,43,4.9118,True,18,True,True
692,43,3.3756,True,126,True,True
693,43,1.744,False,104,False,True
694,43,1.7745,True,96,True,True
695,43,1.8523,False,195,False,True
696,43,4.395,False,121,False,True
697,43,5.9746,True,85,True,True
698,43,1.431,True,39,True,True
699,43,1.0739,True,30,True,True
700,43,2.7568,True,113,True,True
701,43,1.5217,False,36,False,True
702,43,1.6751,True,27,True,True
703,43,2.145,False,214,False,True
704,44,21.216,True,153,True,True
705,44,15.6157,False,132,True,False
706,44,15.9494,False,142,True,False
707,44,2.613,True,19,True,True
708,44,3.4811,False,76,False,True
709,44,4.8282,False,139,False,True
710,44,6.0988,True,176,True,True
711,44,10.0797,True,74,True,True
712,44,10.9787,False,123,False,True
713,44,5.1598,False,93,False,True
714,44,6.3964,True,20,True,True
715,44,8.6019,False,55,True,False
716,44,3.9266,False,135,False,True
717,44,5.4639,False,95,False,True
718,44,6.8009,False,103,False,True
719,44,5.4644,False,130,False,True
720,45,15.3795,True,197,True,True
721,45,9.996,False,92,False,True
722,45,8.1682,False,165,False,True
723,45,6.7425,False,149,False,True
724,45,10.3295,True,181,True,True
725,45,8.7967,True,126,True,True
726,45,12.0958,True,196,True,True
727,45,18.6433,False,80,False,True
728,45,8.2745,True,190,True,True
729,45,5.3295,False,193,False,True
730,45,7.3297,True,211,True,True
731,45,7.0293,False,55,False,True
732,45,6.2257,False,25,False,True
733,45,6.496,True,39,True,True
734,45,5.8464,True,198,True,True
735,45,5.3231,False,10,False,True
736,46,2.7373,False,64,False,True
737,46,2.5531,False,200,False,True
738,46,1.9008,False,149,False,True
739,46,1.229,False,160,True,False
740,46,1.9063,False,154,True,False
741,46,2.1737,False,223,False,True
742,46,1.756,True,3,True,True
743,46,1.4626,False,193,False,True
744,46,1.4237,False,208,False,True
745,46,1.6965,True,123,True,True
746,46,5.9226,True,92,True,True
747,46,2.4877,False,74,False,True
748,46,6.9531,False,88,False,True
749,46,6.988,False,62,True,False
750,46,2.0578,True,167,True,True
751,46,3.6545,False,55,True,False
752,47,3.6046,False,4,False,True
753,47,1.5472,True,157,True,True
754,47,2.3461,True,31,True,True
755,47,1.4734,True,19,True,True
756,47,4.8803,True,16,True,True
757,47,3.3029,False,80,False,True
758,47,6.0051,False,39,False,True
759,47,3.306,True,2,True,True
760,47,4.772,False,185,False,True
761,47,1.0804,True,6,True,True
762,47,1.2062,False,197,False,True
763,47,1.3969,True,48,True,True
764,47,1.9964,True,116,True,True
765,47,1.5569,False,120,False,True
766,47,2.1063,False,86,False,True
767,47,0.9795,False,9,False,True
768,48,4.1781,True,124,True,True
769,48,5.0254,False,196,False,True
770,48,2.2745,False,118,False,True
771,48,2.3593,True,205,True,True
772,48,7.1579,False,129,False,True
773,48,3.9417,True,105,True,True
774,48,2.758,True,1,True,True
775,48,1.4238,True,15,True,True
776,48,3.5904,False,97,False,True
777,48,4.44,True,13,True,True
778,48,133.1529,False,74,False,True
779,48,2.1569,False,43,False,True
780,48,2.7738,False,219,False,True
781,48,2.1418,True,4,True,True
782,48,9.8052,True,146,False,False
783,48,4.4739,True,209,True,True
784,49,8.6934,True,166,True,True
785,49,5.4015,False,10,False,True
786,49,7.0395,True,150,True,True
787,49,5.3887,False,41,False,True
788,49,5.0796,False,203,False,True
789,49,3.1584,True,31,True,True
790,49,1.6798,True,25,True,True
791,49,1.5949,True,97,True,True
792,49,5.53,False,16,False,True
793,49,3.8634,False,124,False,True
794,49,2.6108,True,219,True,True
795,49,3.0997,True,135,True,True
796,49,3.0955,False,57,False,True
797,49,3.3928,False,3,False,True
798,49,4.1592,False,182,False,True
799,49,3.2374,True,75,True,True
800,50,4.7937,False,173,False,True
801,50,2.4696,True,19,True,True
802,50,2.4443,True,178,True,True
803,50,3.895,False,165,False,True
804,50,3.3433,False,142,False,True
805,50,2.1012,True,63,True,True
806,50,4.8942,False,52,False,True
807,50,2.4697,False,161,False,True
808,50,2.5777,False,105,False,True
809,50,3.7013,True,50,True,True
810,50,3.9766,True,20,True,True
811,50,3.6696,False,28,False,True
812,50,5.2441,False,67,False,True
813,50,3.0439,True,146,True,True
814,50,1.5263,True,34,True,True
815,50,3.452,True,43,True,True
816,51,9.5433,True,181,True,True
817,51,6.5397,True,76,True,True
818,51,8.324,True,31,True,True
819,51,37.3636,False,145,False,True
820,51,3.3099,True,166,True,True
821,51,6.8254,True,61,True,True
822,51,15.2768,False,152,False,True
823,51,21.312,False,117,False,True
824,51,15.1763,False,199,False,True
825,51,4.5105,True,151,True,True
826,51,16.5921,True,1,True,True
827,51,5.6245,False,48,False,True
828,51,21.1259,False,130,False,True
829,51,6.1426,True,51,False,False
830,51,10.9922,True,23,False,False
831,51,3.7421,True,106,True,True
832,52,3.0953,False,81,False,True
